time,"water_level (m, NAVD88)",qc_water_level
6/1/23 19:05,0.6057534,0
6/1/23 19:10,0.6342634,0
6/1/23 19:15,0.6638434,0
6/1/23 19:20,0.6961334,0
6/1/23 19:25,0.7317834,0
6/1/23 19:30,0.7613334,0
6/1/23 19:35,0.8044034,0
6/1/23 19:40,0.8383034,0
6/1/23 19:45,0.8638334,0
6/1/23 19:50,0.9036334,0
6/1/23 19:55,0.9290334,0
6/1/23 20:00,0.9623534,0
6/1/23 20:05,1.0010634,0
6/1/23 20:10,1.0262534,0
6/1/23 20:15,1.0639534,0
6/1/23 20:20,1.0845434,0
6/1/23 20:25,1.1175234,0
6/1/23 20:30,1.1414834,0
6/1/23 20:35,1.1754034,0
6/1/23 20:40,1.1926834,0
6/1/23 20:45,1.2328134,0
6/1/23 20:50,1.2631734,0
6/1/23 20:55,1.2805734,0
6/1/23 21:00,1.3023334,0
6/1/23 21:05,1.3351434,0
6/1/23 21:10,1.3557534,0
6/1/23 21:15,1.3814934,0
6/1/23 21:20,1.4073034,0
6/1/23 21:25,1.4226634,0
6/1/23 21:30,1.4450034,0
6/1/23 21:35,1.4658034,0
6/1/23 21:40,1.4765134,0
6/1/23 21:45,1.5067434,0
6/1/23 21:50,1.5171734,0
6/1/23 21:55,1.5258834,0
6/1/23 22:00,1.5418934,0
6/1/23 22:05,1.5552334,0
6/1/23 22:10,1.5656834,0
6/1/23 22:15,1.5800434,0
6/1/23 22:20,1.5791234,0
6/1/23 22:25,1.5859434,0
6/1/23 22:30,1.6053734,0
6/1/23 22:35,1.5945334,0
6/1/23 22:40,1.5875734,0
6/1/23 22:45,1.6021734,0
6/1/23 22:50,1.5973734,0
6/1/23 22:55,1.5994334,0
6/1/23 23:00,1.5894434,0
6/1/23 23:05,1.5911634,0
6/1/23 23:10,1.5824834,0
6/1/23 23:15,1.5716634,0
6/1/23 23:20,1.5807434,0
6/1/23 23:25,1.5771434,0
6/1/23 23:30,1.5784734,0
6/1/23 23:35,1.5839934,0
6/1/23 23:40,1.5802834,0
6/1/23 23:45,1.5793734,0
6/1/23 23:50,1.5896434,0
6/1/23 23:55,1.5926334,0
6/2/23 0:00,1.6045334,0
6/2/23 0:05,1.5955134,0
6/2/23 0:10,1.6093134,0
6/2/23 0:15,1.6135634,0
6/2/23 0:20,1.6087934,0
6/2/23 0:25,1.6056234,0
6/2/23 0:30,1.6004234,0
6/2/23 0:35,1.5965434,0
6/2/23 0:40,1.5926734,0
6/2/23 0:45,1.5791634,0
6/2/23 0:50,1.5778534,0
6/2/23 0:55,1.5696434,0
6/2/23 1:00,1.5593234,0
6/2/23 1:05,1.5474734,0
6/2/23 1:10,1.5473734,0
6/2/23 1:15,1.5379434,0
6/2/23 1:20,1.5299734,0
6/2/23 1:25,1.5172934,0
6/2/23 1:30,1.5048834,0
6/2/23 1:35,1.5038134,0
6/2/23 1:40,1.4994934,0
6/2/23 1:45,1.4900534,0
6/2/23 1:50,1.4872734,0
6/2/23 1:55,1.4821234,0
6/2/23 2:00,1.4770234,0
6/2/23 2:05,1.4731434,0
6/2/23 2:10,1.4689834,0
6/2/23 2:15,1.4560134,0
6/2/23 2:20,1.4577734,0
6/2/23 2:25,1.4450334,0
6/2/23 2:30,1.4399734,0
6/2/23 2:35,1.4350534,0
6/2/23 2:40,1.4368934,0
6/2/23 2:45,1.4245134,0
6/2/23 2:50,1.4144934,0
6/2/23 2:55,1.4019334,0
6/2/23 3:00,1.4142234,0
6/2/23 3:05,1.4080634,0
6/2/23 3:10,1.4019734,0
6/2/23 3:15,1.4092534,0
6/2/23 3:20,1.4023234,0
6/2/23 3:25,1.3990934,0
6/2/23 3:30,1.3966034,0
6/2/23 3:35,1.4088834,0
6/2/23 3:40,1.4069134,0
6/2/23 3:45,1.4075634,0
6/2/23 3:50,1.4194934,0
6/2/23 3:55,1.4258134,0
6/2/23 4:00,1.4297534,0
6/2/23 4:05,1.4443134,0
6/2/23 4:10,1.4612434,0
6/2/23 4:15,1.4773034,0
6/2/23 4:20,1.4965334,0
6/2/23 4:25,1.5132434,0
6/2/23 4:30,1.5319734,0
6/2/23 4:35,1.5462434,0
6/2/23 4:40,1.5539034,0
6/2/23 4:45,1.5848734,0
6/2/23 4:50,1.5922034,0
6/2/23 4:55,1.6219134,0
6/2/23 5:00,1.6387434,0
6/2/23 5:05,1.6536234,0
6/2/23 5:10,1.6769634,0
6/2/23 5:15,1.6887434,0
6/2/23 5:20,1.7086734,0
6/2/23 5:25,1.7147734,0
6/2/23 5:30,1.7366234,0
6/2/23 5:35,1.7523934,0
6/2/23 5:40,1.7712234,0
6/2/23 5:45,1.7857834,0
6/2/23 5:50,1.8009634,0
6/2/23 5:55,1.8081734,0
6/2/23 6:00,1.8266234,0
6/2/23 6:05,1.8424034,0
6/2/23 6:10,1.8557234,0
6/2/23 6:15,1.8679934,0
6/2/23 6:20,1.8878934,0
6/2/23 6:25,1.9025234,0
6/2/23 6:30,1.9064134,0
6/2/23 6:35,1.9240934,0
6/2/23 6:40,1.9353934,0
6/2/23 6:45,1.9462034,0
6/2/23 6:50,1.9586634,0
6/2/23 6:55,1.9798334,0
6/2/23 7:00,1.9906334,0
6/2/23 7:05,2.0066434,0
6/2/23 7:10,2.0149734,0
6/2/23 7:15,2.0276834,0
6/2/23 7:20,2.0435134,0
6/2/23 7:25,2.0552434,0
6/2/23 7:30,2.0645234,0
6/2/23 7:35,2.0776234,0
6/2/23 7:40,2.0926934,0
6/2/23 7:45,2.0965534,0
6/2/23 7:50,2.1071234,0
6/2/23 7:55,2.1115234,0
6/2/23 8:00,2.1225734,0
6/2/23 8:05,2.1236634,0
6/2/23 8:10,2.1258834,0
6/2/23 8:15,2.1229134,0
6/2/23 8:20,2.1247134,0
6/2/23 8:25,2.1272234,0
6/2/23 8:30,2.1169934,0
6/2/23 8:35,2.1216634,0
6/2/23 8:40,2.1106234,0
6/2/23 8:45,2.1096034,0
6/2/23 8:50,2.1046434,0
6/2/23 8:55,2.0971934,0
6/2/23 9:00,2.0987734,0
6/2/23 9:05,2.0853434,0
6/2/23 9:10,2.0872334,0
6/2/23 9:15,2.0785534,0
6/2/23 9:20,2.0875734,0
6/2/23 9:25,2.0755834,0
6/2/23 9:30,2.0539234,0
6/2/23 9:35,2.0519434,0
6/2/23 9:40,2.0337534,0
6/2/23 9:45,2.0165634,0
6/2/23 9:50,1.9979534,0
6/2/23 9:55,1.9854134,0
6/2/23 10:00,1.9640034,0
6/2/23 10:05,1.9387534,0
6/2/23 10:10,1.9208134,0
6/2/23 10:15,1.9024734,0
6/2/23 10:20,1.8702134,0
6/2/23 10:25,1.8475134,0
6/2/23 10:30,1.8227034,0
6/2/23 10:35,1.7969234,0
6/2/23 10:40,1.7668434,0
6/2/23 10:45,1.7410234,0
6/2/23 10:50,1.7136434,0
6/2/23 10:55,1.6757634,0
6/2/23 11:00,1.6548434,0
6/2/23 11:05,1.6125334,0
6/2/23 11:10,1.5919334,0
6/2/23 11:15,1.5567534,0
6/2/23 11:20,1.5275334,0
